"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"поле" 0.19 0.255 0.17 0.141705350598583 0.24686057743909 0.259805564867583 0.280024891101431 0.186188219363575 0.115 0.11 0.105 0.22 0.16 0.21
"ль" 0.125 0.18 0.1 0.273637918397264 0.225394440270473 0.410660408984244 0.293359409725309 0.313134732566012 0.16 0.14 0.145 0.1 0.105 0.165
"наш" 0.165 0.235 0.225 0.141705350598583 0.0965976172587743 0.108950720750922 0.0755622722019735 0.143872714962762 0.23 0.265 0.265 0.21 0.14 0.19
"гулять" 0.36 0.36 0.32 0.278524309797215 0.042932274337233 0.0335232986925914 0.0622277535780958 0.0507786052809749 0.015 0.025 0.02 0.34 0.21 0.245
"зеленый" 0.355 0.3 0.28 0.254092352797459 0.085864548674466 0.134093194770365 0.111120988532314 0.0761679079214624 0.055 0.035 0.02 0.21 0.275 0.24
"знать" 0.135 0.165 0.125 0.219887612997801 0.407856606203714 0.184378142809252 0.182238421192995 0.228503723764387 0.18 0.185 0.225 0.18 0.105 0.14
"день" 0.1 0.055 0.09 0.0977278279990227 0.343458194697864 0.343613811599061 0.337807805138234 0.262356127285037 0.3 0.28 0.265 0.075 0.06 0.055
"стоять" 0.305 0.32 0.28 0.234546787197655 0.0536653429215413 0.0921890714046262 0.0800071117432661 0.0507786052809749 0.1 0.055 0.09 0.22 0.18 0.27
"рука" 0.15 0.17 0.12 0.190569264598094 0.0643984115058495 0.167616493462957 0.142234865321362 0.152335815842925 0.245 0.19 0.24 0.165 0.215 0.165
"девка" 0.315 0.465 0.425 0.273637918397264 0.0643984115058495 0.00838082467314784 0.0355587163303405 0.03385240352065 0 0.005 0 0.245 0.245 0.15
"о" 0.03 0.015 0.025 0.0586366967994136 0.257593646023398 0.276567214213879 0.226686816605921 0.126946513202437 0.545 0.405 0.41 0.05 0.04 0.03
"слеза" 0.17 0.13 0.16 0.122159784998778 0.558119566384029 0.377137110291653 0.333362965596942 0.194651320243737 0.115 0.135 0.145 0.07 0.065 0.095
"конь" 0.19 0.23 0.24 0.131932567798681 0.0643984115058495 0.0586657727120349 0.20890745844075 0.186188219363575 0.085 0.075 0.07 0.275 0.215 0.25
"свет" 0.12 0.115 0.09 0.156364524798436 0.332725126113556 0.184378142809252 0.324473286514357 0.16926201760325 0.185 0.18 0.15 0.13 0.135 0.085
"человек" 0.13 0.13 0.14 0.122159784998778 0.332725126113556 0.159235668789809 0.142234865321362 0.296208530805687 0.18 0.14 0.135 0.195 0.16 0.155
"сидеть" 0.245 0.215 0.265 0.200342047397997 0.128796823011699 0.259805564867583 0.106676148991021 0.0761679079214624 0.05 0.07 0.055 0.2 0.18 0.2
"там" 0.105 0.145 0.155 0.107500610798925 0.225394440270473 0.184378142809252 0.217797137523335 0.211577522004062 0.245 0.21 0.225 0.125 0.065 0.095
"говорить" 0.17 0.17 0.195 0.190569264598094 0.128796823011699 0.134093194770365 0.0711174326606809 0.0846310088016249 0.14 0.125 0.135 0.24 0.205 0.2
"батюшка" 0.335 0.21 0.295 0.229660395797703 0.0321992057529248 0.0838082467314784 0.0666725931193884 0.0423155044008125 0.01 0.01 0.01 0.24 0.24 0.285
"до" 0.165 0.165 0.225 0.0781822623992182 0.085864548674466 0.11733154542407 0.200017779358165 0.110020311442112 0.1 0.12 0.14 0.175 0.18 0.16
"любовь" 0.09 0.09 0.055 0.122159784998778 0.407856606203714 0.226282266174992 0.17334874211041 0.143872714962762 0.195 0.245 0.275 0.075 0.055 0.085
"плакать" 0.255 0.335 0.285 0.0928414365990716 0.118063754427391 0.159235668789809 0.146679704862654 0.0846310088016249 0.025 0.02 0.035 0.15 0.135 0.185
"горе" 0.14 0.13 0.17 0.112387002198876 0.193195234517549 0.201139792155548 0.20890745844075 0.262356127285037 0.07 0.055 0.065 0.135 0.15 0.16
"давать" 0.145 0.125 0.135 0.141705350598583 0.18246216593324 0.0754274220583305 0.146679704862654 0.253893026404875 0.155 0.125 0.14 0.135 0.09 0.115
"ж" 0.12 0.095 0.15 0.0977278279990227 0.160996028764624 0.0838082467314784 0.217797137523335 0.220040622884225 0.14 0.185 0.175 0.09 0.065 0.085
"когда" 0.105 0.095 0.09 0.0879550451991205 0.160996028764624 0.11733154542407 0.120010667614899 0.0507786052809749 0.28 0.26 0.3 0.085 0.05 0.035
"сад" 0.28 0.275 0.2 0.180796481798192 0.085864548674466 0.0754274220583305 0.0755622722019735 0.0423155044008125 0.045 0.02 0.05 0.14 0.17 0.14
"взять" 0.145 0.17 0.17 0.151478133398485 0.0214661371686165 0.125712370097218 0.102231309449729 0.0677048070412999 0.06 0.08 0.06 0.235 0.195 0.185
"его" 0.11 0.1 0.075 0.102614219398974 0.0536653429215413 0.159235668789809 0.0888967908258512 0.152335815842925 0.23 0.205 0.21 0.125 0.11 0.105
"родной" 0.17 0.135 0.135 0.112387002198876 0.0643984115058495 0.184378142809252 0.200017779358165 0.152335815842925 0.065 0.085 0.065 0.135 0.15 0.125
"земля" 0.12 0.095 0.12 0.0684094795993159 0.18246216593324 0.226282266174992 0.186683260734287 0.16926201760325 0.12 0.155 0.195 0.07 0.07 0.075
"этот" 0.155 0.185 0.175 0.0244319569997557 0.042932274337233 0.0251424740194435 0.0800071117432661 0.0423155044008125 0.1 0.21 0.165 0.125 0.175 0.145
"дружок" 0.32 0.33 0.315 0.073295870999267 0.0751314800901578 0.100569896077774 0.0711174326606809 0.00846310088016249 0 0.005 0 0.16 0.11 0.11
"вот" 0.065 0.115 0.1 0.0537503053994625 0.0214661371686165 0.0921890714046262 0.0800071117432661 0.211577522004062 0.22 0.21 0.175 0.14 0.1 0.105
"младой" 0.11 0.165 0.15 0.273637918397264 0.0643984115058495 0.0754274220583305 0.0622277535780958 0.0253893026404875 0.06 0.065 0.04 0.17 0.2 0.165
"радость" 0.055 0.055 0.07 0.244319569997557 0.407856606203714 0.251424740194435 0.177793581651702 0.23696682464455 0.08 0.065 0.07 0.105 0.075 0.06
