"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"белешенький" 0.01 0.01 0 0 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"белокаменный" 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0.02 0 0 0 0.01
"бит" 0 0 0 0 0.02 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0.01
"благородный" 0 0.01 0.01 0 0 0 0 0 0 0.01 0.03 0.01 0 0 0.01 0 0 0
"блекнуть" 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0.01 0.02 0 0 0.01
"блинок" 0.01 0.01 0.01 0.01 0 0 0.03 0 0 0 0 0 0 0 0 0.01 0 0
"богиня" 0 0 0 0 0 0 0 0 0 0.04 0.02 0.02 0 0 0 0 0 0
"божиться" 0 0 0 0.01 0 0.02 0.01 0.02 0 0.01 0 0 0 0.01 0 0 0 0
"больший" 0.01 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"борзая" 0.01 0.01 0.01 0 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0.01
"бровушка" 0 0.01 0.01 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"вдали" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0.01 0.01 0.01 0 0 0
"вдовица" 0 0.02 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"весьма" 0 0.01 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0.02 0 0 0 0 0 0
"вздевать" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0.01 0 0 0 0 0.02
"власть" 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0.02 0 0.01 0.01 0 0 0
"вниз" 0.01 0.02 0 0 0.01 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0
"вовсе" 0 0 0 0 0.01 0.01 0 0 0 0.01 0.04 0 0 0 0 0 0.01 0
"возить" 0.01 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.02 0
"волновать" 0 0 0 0 0 0 0 0 0.01 0.01 0 0.02 0.01 0.02 0.01 0 0 0
"восклицать" 0 0 0 0 0 0.01 0 0 0 0.01 0 0.02 0.01 0 0.01 0 0.01 0.01
"восставать" 0 0 0 0 0.01 0 0 0 0 0.02 0 0.02 0 0 0 0 0.03 0
"вырываться" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.03 0.01 0.01 0 0 0
"высота" 0 0 0 0 0 0 0 0 0 0.01 0.05 0.01 0 0 0.01 0 0 0
"выхваливать" 0 0 0 0 0 0 0.02 0.02 0.03 0 0 0 0 0 0 0.01 0 0
"гаснуть" 0 0 0 0 0 0 0.01 0 0.01 0 0 0.02 0.02 0.02 0 0 0 0
"глубина" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.03 0 0 0 0 0 0
"глухой" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0.01 0 0 0
"глушь" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.01 0.01 0.01 0.01 0 0 0
"годиться" 0 0 0 0.01 0.02 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0.01
"горестный" 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0.02 0 0.01 0 0 0
"горючми" 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01
"грязный" 0.01 0.01 0.01 0 0.01 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01 0 0
"девяносто" 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0.01
"девятый" 0 0.01 0 0.01 0.01 0.03 0 0.01 0 0 0 0 0 0 0 0.01 0 0
"денек" 0 0 0 0.03 0.01 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0.01
"детский" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0.01 0 0 0
"дид" 0.02 0.02 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"днепр" 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0.02 0 0 0 0
"доводить" 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01
"довольно" 0 0.01 0 0 0 0.01 0 0.01 0 0.02 0.01 0.01 0 0 0 0.01 0 0
"дождик" 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0.01 0.01
"доченька" 0.03 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"древний" 0 0 0 0 0 0 0 0 0 0.02 0.03 0.02 0 0 0.01 0 0 0
"ежели" 0.01 0.03 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
"ермошка" 0 0 0 0 0 0 0.03 0.02 0.03 0 0 0 0 0 0 0 0 0
"заблудиться" 0.01 0.02 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01
"завод" 0 0 0 0.03 0 0.03 0 0 0 0 0 0 0 0 0 0 0.02 0
"закуска" 0 0 0 0.01 0.03 0.02 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"занимать" 0 0 0.01 0 0.01 0 0 0 0 0.02 0.01 0 0.01 0 0 0.01 0.01 0
"заражать" 0.02 0.01 0 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0 0 0
"заставать" 0 0 0 0.02 0 0 0 0.02 0 0 0 0.02 0 0.01 0 0 0.01 0
"засыхать" 0 0.02 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0 0
"зашуметь" 0 0 0 0 0 0 0 0 0 0 0.02 0 0.04 0.01 0.01 0 0 0
"здорово" 0 0 0 0.01 0 0 0.02 0.01 0.01 0 0.01 0.01 0 0 0 0.01 0 0
"зелененька" 0.01 0.01 0 0 0 0 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0.01
"знак" 0 0 0 0.01 0.01 0 0 0 0 0.03 0 0 0 0 0.03 0 0 0
"знакомый" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0.01 0 0.01 0 0 0
"зябнуть" 0.02 0.03 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"изменяться" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.02 0.01 0.02 0 0 0
"иногда" 0.01 0.01 0.01 0 0 0 0 0 0 0 0.03 0.02 0 0 0 0 0 0
"искусство" 0 0 0 0 0 0 0 0 0 0.01 0.04 0.03 0 0 0 0 0 0
"истинный" 0 0 0 0.02 0 0 0 0 0.01 0 0.03 0.02 0 0 0 0 0 0
"каблучок" 0.01 0 0 0 0 0.01 0.01 0.02 0.03 0 0 0 0 0 0 0 0 0
"каменна" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.03 0.02
"капустка" 0.02 0 0.01 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0.01 0.01
"карта" 0 0 0 0 0 0 0.02 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0
"катюша" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02
"келья" 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0.02 0.01 0 0 0 0 0
"кинуть" 0 0 0 0.01 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0.01 0 0.01
"колос" 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0.02 0 0.01 0 0 0
"колотиться" 0.01 0 0.01 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0.01
"кончаться" 0 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0.01 0 0.01 0 0 0 0.01
"копать" 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0.02
"коренья" 0 0 0 0.01 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0 0.01
"корить" 0.01 0.02 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0
"корма" 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0.02 0 0.02 0
"корова" 0.01 0 0.01 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0.01
"косящатый" 0.02 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01
"крайний" 0.01 0 0 0.03 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0.01 0
"кружок" 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0.01 0 0 0.02 0 0.01
"круто" 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0.01 0
"кум" 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0.01
"ласково" 0 0 0 0 0 0 0.02 0 0.02 0 0.01 0 0.01 0.01 0.01 0 0 0
"лесть" 0 0 0 0.01 0.01 0 0 0 0 0.03 0.01 0.01 0 0.01 0 0 0 0
"люшенька" 0 0 0 0 0 0 0.03 0.01 0.04 0 0 0 0 0 0 0 0 0
"малешенький" 0.01 0 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0
"мальчишка" 0.02 0.02 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"мамушка" 0.03 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.02
"марфа" 0 0 0 0.01 0.02 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01
"марья" 0.02 0 0.02 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0
"мгла" 0 0 0 0 0 0 0 0 0 0 0.04 0.03 0 0 0.01 0 0 0
"месть" 0 0 0 0 0 0 0 0 0 0.02 0 0.04 0.01 0.01 0 0 0 0
"мечтание" 0 0 0 0 0 0 0 0 0 0.01 0.03 0.02 0.01 0 0.01 0 0 0
"могилушка" 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.03 0.01 0.01 0 0.01 0
"молния" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.03 0.01 0 0 0
"молодица" 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0.02
"мучиться" 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0.03 0.01 0 0 0.01 0
"наводить" 0.01 0 0.01 0 0 0.01 0 0 0 0.02 0 0.01 0.02 0 0 0 0 0
"нагуляться" 0 0.01 0.01 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0 0.01 0 0
"небылой" 0 0 0 0 0.01 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0 0.01 0
"невозвратный" 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0.03 0.01 0.01 0 0 0
"невозможно" 0 0 0 0 0.01 0 0 0.02 0.02 0 0 0 0 0 0.01 0.01 0 0.01
"незабудочка" 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.03 0.02 0 0 0
"нездоровый" 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0.03
"несносный" 0 0 0 0.01 0 0 0.02 0.02 0.01 0.01 0 0 0 0.01 0 0 0 0
"нечего" 0 0 0.01 0 0.02 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.02
"низовой" 0 0 0 0 0 0 0.03 0.03 0.02 0 0 0 0 0 0 0 0 0
"обливаться" 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.02 0.01 0 0 0
"обольщать" 0 0 0 0 0 0 0.01 0.02 0 0.02 0.01 0 0.02 0 0 0 0 0
"ожерелие" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0 0.01 0
"отлетать" 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.01 0 0 0.01 0 0.01 0
"пава" 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.01 0.03
"павлин" 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0.01 0 0 0.01 0
"палач" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.03 0.02 0.02
"паша" 0.03 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"перва" 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.01
"перенимать" 0.01 0 0 0 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0.01 0.02
"песчаный" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.03 0.01 0 0.01 0
"петербургский" 0 0 0.01 0.03 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"пировать" 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0.01 0 0.01 0 0 0.01
"питерский" 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"плясати" 0.01 0 0 0 0 0 0.02 0.02 0.03 0 0 0 0 0 0 0 0 0
"побои" 0.01 0 0.01 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0.01 0.01 0
"повод" 0.01 0 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0.02
"покупать" 0 0 0 0 0.01 0 0 0.02 0.02 0 0 0.01 0 0.01 0 0.01 0 0
"полдень" 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0.01 0.02 0 0 0 0
"полет" 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0.01 0.01 0.01 0.01 0 0 0 0
"поливаться" 0 0.01 0.02 0 0 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0
"поломать" 0.01 0.01 0 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0.02 0 0
"поминать" 0 0.01 0 0 0.01 0 0.02 0 0.01 0 0 0 0.01 0 0 0 0 0.02
"помышлять" 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01 0 0
"попадаться" 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0.03 0 0.01 0 0 0 0
"поражать" 0 0 0 0 0 0 0 0 0 0.02 0.03 0.02 0 0 0.01 0 0 0
"посадский" 0.01 0.03 0.01 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0
"построить" 0 0 0.01 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01
"потакать" 0.01 0.01 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02
"потянуть" 0.01 0.02 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"привидеться" 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0.01 0 0.01 0 0 0.01 0 0
"приговор" 0.01 0 0.01 0 0.01 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0
"приказный" 0 0 0 0 0 0 0.03 0.03 0.01 0 0 0 0 0 0 0 0 0.01
"приминать" 0 0 0 0 0 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0.02 0 0
"прогневаться" 0 0 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0.02 0.01
"променивать" 0 0 0 0.01 0.01 0.01 0 0.01 0 0 0 0 0.01 0.02 0.01 0 0 0
"простереть" 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0.02 0.01 0 0 0 0 0 0
"пята" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.03 0.01 0.03
"раб" 0 0 0 0 0 0 0 0 0 0.04 0.02 0.02 0 0 0 0 0 0
"разцветать" 0.03 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"рана" 0 0 0 0 0 0 0.01 0 0.01 0 0.02 0.01 0 0 0 0.01 0.01 0.01
"распрощаться" 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"рассыпаться" 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0 0 0.01 0 0 0.01 0.01
"расчесывать" 0.01 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0.02 0 0.01
"ровный" 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0.01 0 0.01
"ручеек" 0 0 0 0.01 0 0 0 0 0 0.02 0.02 0.01 0 0.01 0 0.01 0 0
"сани" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0.01
"сберегать" 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0.01
"сват" 0.01 0 0.02 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0.02 0.01 0
"свататься" 0 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0.02
"свободный" 0 0 0 0 0 0 0 0 0 0.01 0 0.04 0.01 0.02 0 0 0 0
"свод" 0 0 0 0 0 0 0 0 0 0 0.04 0.01 0.01 0 0.02 0 0 0
"скок" 0.02 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"скончаться" 0 0 0 0.03 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0.01
"сладку" 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.03
"сладостный" 0 0 0 0 0 0 0 0 0 0.03 0.03 0.01 0 0.01 0 0 0 0
"сова" 0 0 0 0 0 0.01 0.02 0.02 0.01 0 0 0 0 0 0 0 0.01 0.01
"созывать" 0 0.01 0 0 0.01 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0.01 0.02
"солдатка" 0 0 0 0 0.01 0 0.01 0.02 0.02 0 0 0 0 0 0 0.01 0.01 0
"соловушек" 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0
"сорока" 0.01 0 0 0 0 0 0.03 0.02 0.02 0 0 0 0 0 0 0 0 0
"спешить" 0 0 0 0 0 0.01 0 0 0 0.01 0 0.03 0.01 0.01 0 0 0 0.01
"спина" 0 0 0 0 0.02 0.02 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0
"срезать" 0.01 0 0.01 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0.02 0
"станавливать" 0 0 0.02 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.03 0
"стараться" 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.01 0.02 0.02 0 0 0
"старина" 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0.03 0 0.01 0 0 0 0
"старший" 0.01 0.01 0 0 0 0 0.02 0 0.01 0.01 0 0.01 0 0 0 0 0 0.01
"стенька" 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0.02 0.03 0 0 0
"строить" 0.01 0 0.01 0.01 0 0.02 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01
"стружка" 0 0.01 0 0.01 0 0.03 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0
"супостат" 0.01 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0 0 0.01 0 0 0.01
"съезжать" 0.01 0.02 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"таинственный" 0 0 0 0 0 0 0 0 0 0.03 0.03 0.02 0 0 0 0 0 0
"теля" 0.02 0.02 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0
"тешиться" 0 0.01 0 0 0 0 0 0 0 0.01 0.02 0 0.03 0 0 0.01 0 0
"толкучий" 0.03 0.01 0.03 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"трактир" 0.01 0 0 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0.02 0 0.01
"трое" 0 0 0 0 0 0.03 0.01 0 0 0 0.01 0 0 0 0 0 0.02 0.01
"тройка" 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0.01 0.02 0.01 0
"туфля" 0 0 0 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0.01
"тя" 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0.02
"уговаривать" 0.01 0 0.02 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0
"узор" 0.01 0.02 0.02 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01
"украшать" 0 0 0 0 0 0 0 0 0.01 0.03 0.01 0.01 0 0 0 0.01 0 0.01
"услаждать" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0.01 0.01 0 0 0 0
"утушка" 0.01 0.01 0 0.01 0.02 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"федор" 0 0 0 0.06 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"холодно" 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.02 0.01 0 0 0.01
"чернеть" 0 0 0 0.01 0 0 0.01 0 0.02 0.01 0 0.02 0 0 0 0.01 0 0
"чернобров" 0 0 0 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0.01 0.02 0.01
"чу" 0.01 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.01 0.02 0
"шапица" 0 0 0 0 0 0 0.03 0.02 0.03 0 0 0 0 0 0 0 0 0
"шапка" 0 0 0 0.01 0 0.01 0 0 0 0.01 0.01 0 0.01 0.01 0.02 0 0 0
"шведский" 0 0 0 0.02 0.01 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"школьничка" 0.01 0.02 0.02 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01
"ярко" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.03 0 0.02 0 0 0
"безмолвный" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.03 0.01 0 0 0 0 0
"белолицый" 0.01 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0.01 0 0
"бессмертный" 0 0 0 0 0 0 0 0 0 0 0.03 0.03 0 0.01 0 0 0 0
"бесчастный" 0 0 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0.01 0.01 0 0 0
"блаженство" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.03 0.01 0 0 0 0 0
"ближний" 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0.01
"божественный" 0 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0 0 0.01 0 0 0
"босу" 0 0 0 0 0.01 0 0.02 0.01 0.01 0 0 0 0 0 0 0.02 0 0
"бравый" 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02
"бух" 0 0 0 0 0 0 0.02 0.02 0.03 0 0 0 0 0 0 0 0 0
"быстра" 0.01 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"валек" 0 0 0 0.02 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0
"ванюшенька" 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02
"василье" 0.01 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"вдовина" 0 0.02 0.02 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0
"вековать" 0.01 0.01 0.02 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0
"верх" 0.01 0.01 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0.01 0 0 0
"ветерочек" 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01
"вечеринка" 0 0.02 0.01 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"виноватый" 0 0 0 0.01 0 0.01 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0.01 0
"вместо" 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.02 0.02 0 0 0 0
"водиться" 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0.02 0.01 0 0.01 0
"воевода" 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0 0.02 0.02 0 0 0 0
"возвещать" 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0.01 0.01 0.01 0 0 0
"возрыдаючи" 0 0.01 0.01 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"вой" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01 0.02 0 0.01 0
"волость" 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"воротисить" 0.01 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0.02
"воск" 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.02 0.01 0.01 0.01 0 0
"воскресать" 0 0 0 0 0 0 0 0 0 0.03 0 0.03 0 0 0.01 0 0 0
"воспоминание" 0 0 0 0 0 0 0 0 0 0.04 0.01 0.01 0.01 0 0 0 0 0
"вселенная" 0 0 0 0 0 0 0 0 0 0.03 0.03 0.01 0 0 0 0 0 0
"вскакивать" 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0.01 0.02 0 0.01 0
"встрепенуться" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0.02 0.01 0 0
"всюду" 0 0 0 0 0 0 0 0 0 0.02 0.04 0.01 0 0 0 0 0 0
"всячески" 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0.01 0 0 0 0 0.01 0
"вызнобить" 0.02 0 0.02 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"вымывать" 0 0 0 0 0.01 0 0.02 0 0.02 0 0 0 0 0 0 0.01 0 0.01
"генерал" 0 0 0 0 0 0.02 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01
"глупость" 0 0 0 0.02 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01
"глянуть" 0.01 0.01 0.03 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"годик" 0.01 0.05 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"голицын" 0 0 0 0.02 0.04 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"горушка" 0 0 0 0.02 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0.01 0 0
"громовой" 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0.01 0
"грушенька" 0.01 0 0 0 0 0 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0
"гудочек" 0 0.01 0.01 0.01 0.01 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0
"гульливый" 0.01 0 0.01 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0
"гумно" 0.01 0 0.02 0 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0
"дворянский" 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0
"девченочка" 0 0 0 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"девчина" 0 0 0 0 0 0.01 0.02 0.01 0.02 0 0 0 0 0 0 0 0 0.01
"делиться" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.02 0.02 0 0 0
