"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"где" 0.14 0.22 0.18 0.14 0.15 0.17 0.16 0.15 0.15 0.4 0.27 0.27 0.3 0.27 0.25 0.09 0.1 0.15
"ль" 0.24 0.17 0.15 0.13 0.19 0.12 0.3 0.32 0.29 0.13 0.09 0.11 0.28 0.35 0.25 0.1 0.2 0.12
"жить" 0.16 0.17 0.21 0.21 0.27 0.19 0.19 0.17 0.16 0.11 0.22 0.15 0.27 0.27 0.22 0.12 0.2 0.23
"сказать" 0.1 0.07 0.13 0.23 0.14 0.22 0.27 0.31 0.28 0.17 0.18 0.16 0.2 0.19 0.17 0.21 0.2 0.25
"становиться" 0.24 0.27 0.26 0.25 0.24 0.34 0.16 0.18 0.2 0.06 0.12 0.11 0.12 0.13 0.12 0.18 0.27 0.21
"так" 0.02 0.07 0.04 0.07 0.1 0.1 0.19 0.2 0.17 0.38 0.4 0.31 0.3 0.43 0.42 0.07 0.1 0.08
"девка" 0.17 0.22 0.17 0.42 0.5 0.3 0.31 0.27 0.24 0 0 0 0.04 0.02 0.06 0.2 0.22 0.23
"но" 0.01 0.02 0.02 0 0.01 0.01 0.05 0.02 0.04 0.63 0.75 0.77 0.32 0.36 0.31 0.02 0.02 0.01
"сидеть" 0.14 0.14 0.16 0.31 0.22 0.32 0.2 0.23 0.23 0.08 0.08 0.03 0.19 0.15 0.18 0.19 0.27 0.22
"слеза" 0.23 0.23 0.23 0.12 0.14 0.13 0.13 0.08 0.1 0.07 0.11 0.12 0.34 0.36 0.41 0.17 0.1 0.14
"муж" 0.5 0.41 0.45 0.15 0.18 0.18 0.21 0.13 0.16 0.02 0.04 0.02 0.07 0.04 0.04 0.2 0.24 0.15
"же" 0.14 0.17 0.12 0.18 0.16 0.18 0.05 0.02 0.06 0.25 0.27 0.2 0.34 0.27 0.25 0.15 0.15 0.2
"человек" 0.22 0.18 0.22 0.15 0.17 0.24 0.1 0.13 0.15 0.2 0.11 0.19 0.17 0.25 0.28 0.1 0.2 0.09
"говорить" 0.21 0.26 0.33 0.15 0.17 0.2 0.22 0.16 0.17 0.06 0.12 0.14 0.12 0.1 0.06 0.17 0.18 0.32
"стоять" 0.17 0.17 0.14 0.24 0.29 0.25 0.28 0.27 0.22 0.05 0.09 0.13 0.05 0.06 0.07 0.2 0.24 0.22
"плакать" 0.28 0.36 0.33 0.34 0.29 0.24 0.11 0.11 0.09 0.03 0.03 0.05 0.08 0.2 0.1 0.16 0.16 0.16
"рука" 0.24 0.21 0.17 0.1 0.13 0.17 0.21 0.19 0.19 0.23 0.2 0.2 0.1 0.14 0.14 0.11 0.13 0.17
"знать" 0.12 0.08 0.09 0.16 0.2 0.11 0.14 0.26 0.2 0.24 0.24 0.28 0.14 0.29 0.18 0.13 0.07 0.09
"конь" 0.11 0.11 0.13 0.29 0.22 0.15 0.17 0.13 0.14 0.03 0.16 0.06 0.13 0.16 0.2 0.25 0.25 0.28
"младой" 0.21 0.28 0.27 0.21 0.18 0.09 0.26 0.23 0.34 0.04 0 0.05 0.07 0.04 0.05 0.25 0.17 0.18
"сад" 0.31 0.26 0.29 0.28 0.22 0.2 0.2 0.21 0.15 0.03 0.06 0.01 0.08 0.09 0.04 0.16 0.22 0.11
"наш" 0.1 0.09 0.14 0.16 0.19 0.1 0.14 0.18 0.13 0.27 0.18 0.16 0.08 0.15 0.1 0.27 0.19 0.21
"взять" 0.26 0.24 0.29 0.18 0.23 0.21 0.16 0.15 0.19 0.06 0.05 0.03 0.04 0.1 0.09 0.21 0.17 0.15
"свет" 0.19 0.18 0.15 0.09 0.08 0.14 0.17 0.15 0.14 0.21 0.13 0.21 0.21 0.24 0.18 0.1 0.15 0.08
"там" 0.08 0.1 0.08 0.13 0.09 0.11 0.12 0.11 0.13 0.19 0.26 0.32 0.29 0.21 0.25 0.07 0.12 0.1
"день" 0.06 0.03 0.07 0.1 0.01 0.09 0.09 0.1 0.11 0.3 0.3 0.32 0.36 0.28 0.26 0.06 0.1 0.11
"о" 0.03 0.04 0.05 0.06 0.02 0.06 0.05 0.07 0.07 0.37 0.51 0.47 0.21 0.32 0.21 0.06 0.02 0.02
"горе" 0.18 0.18 0.12 0.12 0.15 0.16 0.14 0.1 0.12 0.05 0.01 0.06 0.27 0.21 0.22 0.16 0.22 0.16
"радость" 0.18 0.14 0.11 0.09 0.02 0.09 0.25 0.31 0.23 0.06 0.07 0.08 0.27 0.22 0.21 0.09 0.13 0.07
"вода" 0.14 0.26 0.22 0.09 0.14 0.13 0.19 0.16 0.19 0.12 0.1 0.17 0.07 0.05 0.08 0.17 0.15 0.18
"давать" 0.12 0.06 0.16 0.15 0.15 0.11 0.11 0.05 0.13 0.22 0.2 0.24 0.19 0.13 0.17 0.07 0.13 0.16
"родной" 0.19 0.21 0.2 0.22 0.17 0.23 0.11 0.1 0.09 0.09 0.03 0.03 0.11 0.18 0.14 0.13 0.2 0.12
"мать" 0.24 0.29 0.27 0.17 0.14 0.2 0.12 0.09 0.07 0.05 0.04 0.04 0.1 0.06 0.15 0.15 0.22 0.11
"чужой" 0.35 0.33 0.35 0.18 0.14 0.13 0.11 0.06 0.03 0.07 0.07 0.03 0.11 0.1 0.07 0.08 0.08 0.13
"до" 0.08 0.14 0.1 0.24 0.18 0.2 0.09 0.09 0.08 0.09 0.14 0.07 0.14 0.14 0.14 0.17 0.13 0.17
"любовь" 0.05 0.04 0.03 0.08 0.13 0.09 0.13 0.09 0.11 0.2 0.33 0.34 0.23 0.14 0.2 0.05 0.06 0.05
"черный" 0.12 0.11 0.11 0.19 0.08 0.17 0.24 0.27 0.27 0.07 0.02 0.05 0.07 0.1 0.11 0.2 0.06 0.11
"еще" 0.17 0.17 0.14 0.08 0.15 0.11 0.09 0.1 0.14 0.15 0.15 0.15 0.07 0.08 0.07 0.15 0.17 0.17
"старый" 0.31 0.34 0.29 0.08 0.08 0.11 0.14 0.18 0.14 0.03 0.04 0.02 0.03 0.03 0.04 0.13 0.15 0.17
"другой" 0.16 0.18 0.14 0.18 0.16 0.14 0.1 0.14 0.08 0.17 0.11 0.12 0.1 0.14 0.1 0.12 0.07 0.09
"двор" 0.15 0.24 0.19 0.2 0.24 0.17 0.2 0.18 0.15 0.03 0.03 0.05 0.02 0 0 0.1 0.15 0.12
"лес" 0.14 0.07 0.14 0.21 0.18 0.13 0.14 0.1 0.18 0.09 0.06 0.06 0.15 0.13 0.11 0.1 0.11 0.11
"ж" 0.1 0.06 0.07 0.15 0.06 0.14 0.09 0.07 0.06 0.16 0.29 0.18 0.2 0.15 0.17 0.06 0.06 0.1
"этот" 0.14 0.17 0.17 0.14 0.14 0.2 0.04 0.04 0.03 0.11 0.16 0.14 0.04 0.04 0.07 0.22 0.12 0.2
"хороший" 0.16 0.16 0.15 0.22 0.15 0.19 0.18 0.17 0.13 0.05 0.04 0.04 0.05 0.06 0.04 0.15 0.11 0.1
"сторона" 0.28 0.31 0.27 0.09 0.04 0.16 0.09 0.08 0.09 0.03 0.02 0.05 0.07 0.09 0.1 0.14 0.13 0.08
"при" 0.16 0.18 0.16 0.11 0.1 0.06 0.19 0.2 0.16 0.09 0.09 0.08 0.04 0.12 0.06 0.13 0.09 0.08
"спать" 0.16 0.16 0.14 0.17 0.13 0.06 0.14 0.14 0.17 0.06 0.1 0.08 0.08 0.08 0.06 0.14 0.11 0.12
"гора" 0.07 0.08 0.07 0.22 0.18 0.21 0.09 0.14 0.12 0.11 0.05 0.09 0.07 0.06 0.04 0.15 0.15 0.19
"дружок" 0.11 0.13 0.12 0.32 0.38 0.29 0.07 0.08 0.06 0.01 0 0 0.03 0.05 0.07 0.14 0.13 0.1
"ночь" 0.06 0.1 0.09 0.07 0.1 0.11 0.08 0.08 0.09 0.12 0.17 0.12 0.21 0.22 0.24 0.03 0.1 0.07
"про" 0.07 0.11 0.1 0.14 0.2 0.24 0.14 0.07 0.11 0.02 0.02 0.03 0.08 0.08 0.1 0.18 0.18 0.16
"земля" 0.05 0.05 0.04 0.15 0.04 0.07 0.06 0.1 0.07 0.11 0.17 0.19 0.18 0.19 0.22 0.07 0.15 0.09
"три" 0.14 0.15 0.13 0.21 0.12 0.17 0.07 0.12 0.13 0.05 0.03 0.06 0.02 0.03 0 0.14 0.22 0.19
"гость" 0.19 0.19 0.2 0.13 0.16 0.13 0.11 0.14 0.07 0.08 0.03 0.03 0.06 0.04 0.08 0.1 0.14 0.09
"тоска" 0.01 0.02 0.05 0.09 0.07 0.07 0.08 0.06 0.06 0.1 0.12 0.09 0.37 0.31 0.38 0.05 0.03 0.01
"б" 0.14 0.16 0.15 0.09 0.06 0.05 0.12 0.11 0.1 0.15 0.07 0.12 0.1 0.15 0.15 0.06 0.09 0.07
"для" 0.04 0.07 0.03 0.03 0.05 0.05 0.05 0.04 0.03 0.24 0.29 0.13 0.26 0.25 0.26 0.05 0.03 0.04
"лежать" 0.1 0.1 0.13 0.15 0.12 0.14 0.14 0.11 0.16 0.04 0.04 0.05 0.07 0.09 0.07 0.13 0.16 0.12
"только" 0.1 0.07 0.13 0.15 0.12 0.15 0.08 0.07 0.14 0.09 0.07 0.09 0.11 0.19 0.09 0.06 0.11 0.08
"его" 0.06 0.04 0.07 0.07 0.05 0.1 0.1 0.15 0.13 0.14 0.26 0.18 0.11 0.06 0.07 0.16 0.05 0.09
"новый" 0.12 0.09 0.12 0.24 0.22 0.13 0.06 0.04 0.09 0.09 0.07 0.09 0 0 0.03 0.13 0.18 0.18
"река" 0.14 0.14 0.11 0.08 0.08 0.15 0.14 0.09 0.13 0.07 0.08 0.04 0.09 0.1 0.09 0.15 0.1 0.1
"вот" 0.07 0.04 0.04 0.08 0.1 0.05 0.02 0.02 0.08 0.26 0.2 0.2 0.09 0.13 0.07 0.15 0.14 0.12
"грудь" 0.06 0.08 0.05 0.05 0.04 0.05 0.03 0.05 0.08 0.12 0.16 0.08 0.28 0.27 0.26 0.03 0.08 0.05
"темный" 0.12 0.12 0.15 0.14 0.14 0.12 0.03 0.07 0.08 0 0.04 0.05 0.21 0.11 0.17 0.1 0.07 0.1
"море" 0.12 0.13 0.08 0.1 0.1 0.09 0.15 0.16 0.15 0.09 0.07 0.06 0.03 0.06 0.06 0.11 0.12 0.12
"родимый" 0.26 0.26 0.33 0.07 0.08 0.08 0.02 0.01 0.02 0 0 0 0.07 0.16 0.13 0.12 0.1 0.09
"два" 0.07 0.07 0.09 0.12 0.15 0.16 0.11 0.07 0.12 0.08 0.07 0.07 0.06 0.06 0.05 0.1 0.21 0.11
"хотеть" 0.13 0.11 0.09 0.1 0.1 0.15 0.08 0.1 0.1 0.07 0.1 0.09 0.08 0.04 0.08 0.08 0.14 0.12
"ой" 0.19 0.16 0.18 0.19 0.2 0.12 0.08 0.11 0.08 0.01 0 0 0 0.01 0.03 0.16 0.11 0.11
"око" 0.11 0.08 0.08 0.03 0.04 0.03 0.06 0.08 0.09 0.14 0.13 0.11 0.23 0.26 0.18 0.03 0.03 0.03
"ясный" 0.1 0.1 0.06 0.07 0.07 0.09 0.12 0.06 0.11 0.01 0.01 0.05 0.18 0.2 0.23 0.1 0.07 0.11
"когда" 0.06 0.04 0.05 0.05 0.13 0.05 0.03 0.03 0.1 0.26 0.29 0.23 0.07 0.08 0.11 0.04 0.03 0.07
"отдавать" 0.2 0.23 0.16 0.12 0.09 0.05 0.06 0.12 0.1 0.06 0.06 0.02 0.04 0.07 0.08 0.13 0.08 0.04
"тут" 0.07 0.06 0.07 0.14 0.09 0.14 0.08 0.08 0.08 0.1 0.1 0.08 0.04 0.08 0.02 0.17 0.16 0.15
"видеть" 0.08 0.06 0.04 0.08 0.08 0.07 0.07 0.1 0.15 0.27 0.13 0.11 0.09 0.09 0.14 0.05 0.04 0.05
"пора" 0.08 0.06 0.09 0.16 0.04 0.08 0.08 0.07 0.09 0.12 0.12 0.14 0.15 0.12 0.13 0.03 0.07 0.05
"глаз" 0.12 0.11 0.06 0.05 0.07 0.1 0.09 0.12 0.09 0.09 0.05 0.08 0.11 0.08 0.13 0.07 0.13 0.09
"мочь" 0.06 0.07 0.05 0.04 0 0.06 0.07 0.09 0.07 0.24 0.26 0.15 0.09 0.14 0.11 0.06 0.04 0.04
"велеть" 0.21 0.26 0.23 0.1 0.06 0.1 0.09 0.09 0.08 0.01 0 0.01 0.04 0.05 0.05 0.08 0.08 0.09
"год" 0.12 0.1 0.11 0.12 0.13 0.1 0.04 0.04 0.03 0.15 0.12 0.09 0.06 0.05 0.07 0.11 0.11 0.08
"голова" 0.14 0.14 0.12 0.15 0.16 0.1 0.06 0.08 0.07 0.05 0.05 0.01 0.03 0.05 0.03 0.08 0.15 0.16
"любезный" 0.06 0.07 0.05 0.13 0.19 0.2 0.15 0.14 0.09 0.02 0.01 0.05 0.07 0.1 0.07 0.08 0.08 0.07
"слово" 0.05 0.06 0.06 0.03 0.12 0.03 0.06 0.13 0.13 0.09 0.14 0.08 0.14 0.14 0.18 0.03 0.09 0.07
"сын" 0.05 0.1 0.07 0.11 0.19 0.09 0.1 0.12 0.12 0.05 0.05 0.1 0.01 0 0.03 0.16 0.15 0.13
"братец" 0.19 0.24 0.26 0.15 0.19 0.12 0.02 0.03 0.01 0 0.02 0.01 0 0.02 0.02 0.09 0.13 0.12
"высокий" 0.17 0.08 0.1 0.07 0.11 0.12 0.08 0.13 0.07 0.08 0.05 0.06 0.06 0.02 0.05 0.08 0.14 0.15
"миленький" 0.15 0.13 0.09 0.18 0.12 0.14 0.12 0.05 0.07 0 0 0 0.01 0.03 0.03 0.19 0.2 0.11
"улица" 0.1 0.15 0.13 0.1 0.11 0.09 0.14 0.11 0.16 0.01 0.01 0 0.02 0.02 0.02 0.17 0.17 0.11
"отец" 0.12 0.18 0.17 0.06 0.09 0.09 0.04 0.06 0.04 0.09 0.08 0.08 0.14 0.05 0.04 0.1 0.1 0.08
"ка" 0.11 0.15 0.1 0.12 0.17 0.13 0.06 0.03 0.04 0 0.01 0 0.02 0.01 0.03 0.19 0.21 0.22
"широкий" 0.14 0.18 0.07 0.14 0.19 0.16 0.05 0.04 0.07 0.02 0.04 0.01 0.05 0.05 0.05 0.16 0.05 0.12
"петь" 0.1 0.08 0.09 0.09 0.08 0.08 0.07 0.05 0.05 0.09 0.05 0.08 0.15 0.14 0.13 0.07 0.13 0.05
"чистый" 0.1 0.09 0.14 0.12 0.06 0.06 0.06 0.08 0.05 0.07 0.06 0.06 0.13 0.12 0.12 0.08 0.05 0.13
"ох" 0.3 0.3 0.27 0.1 0.12 0.09 0.01 0.01 0 0 0 0 0.02 0 0.01 0.1 0.11 0.1
"терем" 0.11 0.1 0.09 0.08 0.09 0.13 0.08 0.15 0.08 0 0 0.01 0.09 0.13 0.07 0.17 0.06 0.09
"жизнь" 0.02 0.02 0.01 0.02 0.01 0.01 0.05 0.06 0.06 0.28 0.23 0.18 0.26 0.1 0.15 0.02 0.02 0.02
"замуж" 0.2 0.24 0.16 0.05 0.13 0.09 0.11 0.15 0.13 0 0.01 0 0.01 0.03 0.02 0.07 0.07 0.05
"лицо" 0.11 0.14 0.06 0.07 0.11 0.12 0.06 0.11 0.1 0.04 0.07 0.03 0.09 0.06 0.06 0.11 0.08 0.1
"над" 0.04 0.03 0.05 0.06 0.04 0.03 0.01 0.04 0.02 0.14 0.2 0.15 0.11 0.2 0.22 0.02 0.07 0.08
