id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
264;Мерзляков;Ах что ж ты голубчик;Журнал отечественной музыки на 1806 год, изд. Д. Кашиным. 1806. № 5. С. 5. (без подписи)/ Русское национальное песнопение. М., 1809. С. 326-327 (без подписи)/ Мерзляков А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 62-63;1806;1800;;;1830;collection;Аф2ж + Аф1гд;unreg;unrhymed;core;Аф;2;;2;yes;Ах что ж ты голубчик (Прач)
265;Мерзляков;Чернобровый черноглазый;Журнал отечественной музыки на 1806 год, изд. Д. Кашиным. 1806. № 4. С. 8 – 9/ Русское национальное песнопение. М., 1809. С. 290-292/ Мерзляков А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 63-64;1806;1800;;;1830;collection;Х43ж;unreg;unrhymed;core;Х;4 + 3;ж;рз;yes;Чернобровый черноглазый
266;Мерзляков;Что не девица во тереме своем;ВЕ. 1805. № 9. С. 43-44/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 64-65;1805;1800;Чувства в разлуке;;1805;periodical;Х6м;reg;rhymed;core;Х;6;м;6;mb;
267;Мерзляков;Что мне делать в тяжкой участи своей;ВЕ. 1805. № 6. С. 130-133/ Журнал российской словесности, 1805, № 12. С. 169-172/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 64-66;1805;1800;Сельская элегия;;1805;periodical;Х6м;reg;unrhymed;core;Х;6;м;6;mb;
268;Мерзляков;Ах девица красавица;Журнал отечественной музыки на 1806 год, изд. Д. Кашиным. 1806. № 4. С. 12/ Русское национальное песнопение. М., 1809. С. 296-297/ Мерзляков, А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С.66-67;1806;1800;;;1830;collection;Я4м + Я3д;unreg;unrhymed;core;Я;4;м;4;no;
269;Мерзляков;Тошно девице ждать мила друга;Мерзляков, А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 67-68;1810;1800;Ожидание;;1830;collection;Пс2;unreg;unrhymed;core;Пс;2;;Пс;mb;
270;Мерзляков;Для чего летишь соловушко к садам;Денница. М., 1830. С. 89-90/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 69-70;1810;1800;Соловушко;;1830;periodical;Х6м;reg;rhymed;core;Х;6;м;6;mb;
271;Мерзляков;Под березой где прозрачный ключ шумит;Мерзляков, А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 71;1810;1800;;;1830;collection;Х6м;reg;rhymed;core;Х;6;м;6;mb;
272;Мерзляков;Мой безмолвный друг опять к тебе иду;Мерзляков, А.Ф. Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 72;1810;1800;;;1830;collection;Х6м;reg;rhymed;core;Х;6;м;6;mb;
273;Минаев, Д.;Как по морю было синему;Новогодник. Собрание сочинений в прозе и стихах. СПб., 1839. С. 363-364;1839;1830;Песня;;1839;periodical;Ан3д + Х4д;unreg (пербои, цезурн усечения);unrhymed;core;Ан + Х;3 + 4;д;Полиметрия;mb;Ах по морю морю синему по синему морю по хвалынскому
274;Михайлов, М.И.;Что не сокол я лихой;Литературная газета. 1847. № 49, 7 августа. С. 774;1847;1840;Вассал;;1847;periodical;Х4м;reg;rhymed;periph;Х;4;м;4;no;
275;Мочалов, П.С.;Ах ты солнце солнце красное;Литературный кабинет. М., 1842 Отд. 2. С. 13.;1842;1840;;;1842;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;yes;Ах ты солнце солнце красное (Новиков)
276;Мочалов, П.С.;Старый бор черный бор;Литературный кабинет. М., 1842 Отд. 2. С. 13-14.;1842;1820;;о датировке: Мочалов, с. 530. Предлагает 1820, но откуда пушкинский анапест тогда;1842;periodical;Ан2м;unreg;rhymed;core;Ан;2;м;2;no;
277;Мочалов, П.С.;Дайте слово, научите;Литературный кабинет. М., 1842. Отд. 2. С. 11-12;1842;1840;Русское спасибо;;1842;periodical;Х4жм + Пс2;unreg;unrhymed;core;Х + Пс;4;жм;Полиметрия;no;
278;Мятлев, И.П.;Что ты ветка бедная;Собрание стихотворений. Спб., 1835. С. 61-62. + с муз. Титова + Маяк, 1841, т. 19 + Мятлев, И.П. Стихотворения. Л., 1969. С. 58;1834;1830;Плавающая ветка;;1835;collection;Х3дм;reg;rhymed;core;Х;3;дм;3;no;
279;Мятлев, И.П.;Молодая пташечка;???;1839;1830;;;1857;collection;Х3дм;reg;rhymed;core;Х;3;дм;3;no;
280;Н. В.;Есть заветная светлица;СО. 1840. Т. 3. С. 591-592;1840;1830;Светлица;;1840;periodical;Х4жм;reg;rhymed;core;Х;4;жм;4;no;
281;Н.Ш. (м.б. Н. Шигаев. (Рассказы и повести. Перев. 4. ч. Спб. 1835. );Вот стоит она лебедь белая;БдЧ. 1841. Т. 44. Стих. С. 104.;1841;1840;Русская красавица;;1841;periodical;Пс2;unreg;unrhymed;core;Пс;2;;Пс;no;
282;Надеждина, Э.;Говорил мне мил сердечный друг когда-то;Невский альбом. СПб., 1838. С. 160;1831;1830;Локон;;1838;periodical;Х6ж;reg;unrhymed;core;Х;6;ж;6;no;
283;Наумова,А.А.;Ждать люблю вечерню зорю;Наумова, А.А. Уединенная муза закамских берегов. М., 1819. С. 201-203;1815;1810;Романсы и песенки;;1819;collection;Х4жм;reg;rhymed;periph;Х;4;жм;4;no;
284;Наумова,А.А.;Во все стороны голубка как стрела летала;Наумова, А.А. Уединенная муза закамских берегов. М., 1819. С. 38-39;1815;1810;Русские песни;;1819;collection;Х7 (Х4ж + Х3ж);unreg;rhymed;periph;Х;7;ж;7;no;
285;Наумова,А.А.;Молодушка молодая по полю ходила;Наумова, А.А. Уединенная муза закамских берегов. М., 1819. С. 40-43;1815;1810;Русские песни;;1819;collection;Х7 (Х4ж + Х3ж);unreg;rhymed;periph;Х;7;ж;7;no;
286;Нетанов;Прочь тоска змея;Литературная газета. 1848. № 15, 15 апреля. С. 228;1848;1840;Песня;;1848;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
287;Ниркомский;Матушка голубушка;БдЧ. 1838. Т. 29. Стихотв. С. 51-52;1838;1830;;подражание панаеву (Скажи мне родимая, голубушка матушка);1838;periodical;Х3дм;reg;rhymed;core;Х;3;дм;3;mb;
288;Ниркомский;Ты не плачь, родимый батюшка;БдЧ. 1838. Т. 29.Стихотв. С. 52-53;1838;1830;Три русские песни (Ниркомский + Д. Пельский);;1838;periodical;Х4д;unreg;unrhymed;core;Х;4;д;4;no;
289;О - л - а.;Красавице-девице любить не велили;Литературная газета. 1840. № 75, 11 сент. С. 1582, 1645-1646;1840;1830;Русская песня;(из собрания рязанских простонародных песен);1840;periodical;Аф4жм;unreg;rhymed;core;Аф;4;жм;4;no;
290;О - л - а.;Я вечор млада;Литературная газета. 1840. №  75, 11 сент. С. 1582, 1646-1647;1840;1830;Цыганская песня;(Из собрания старых и новых цыганских песен);1840;periodical;Пс;reg;occ;core;Пс;1;;Пс;yes;Я вечор млада во пиру была (Песенник 19)
291;Ободовский, П.Г.;Ты не плачь не тоскуй;Памятник Отечественных муз на 1827 г. СПб., 1827. С. 197-198;1827;1820;Русская песня;;1827;periodical;Ан2м;unreg (цезурн наращение? Х4мжм);rhymed;core;Ан;2;м;2;no;
292;Ободовский, П.Г.;Не плачь не плачь красавица;Невский альманах на 1830 г. СПб., 1829. С. 242-243.;1829;1820;Песня;;1829;periodical;Я3дм;reg;rhymed;core;Я;3;дм;3;no;
293;Ободовский, П.Г.;Что туман клубится облаком;Карманная книжка для любителей русской старины и словесности. СПб., 1829. С. 393-394 (ц.р. 18 марта 1829);1829;1820;Тверская песня;;1829;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;no;
294;Огарев, Н.П.;Выпьем, что ли, Ваня;;1841;1840;Кабак;;1842;periodical;Х3ж;reg;rhymed;core;Х;3;ж;3;no;
